0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60
0,002;9,549535706;12,4292162;14,79551705;16,9237582;18,90737738;20,79116772;22,60067086;24,35208135;26,05643335;27,72164723;29,35363761;30,95696053;32,53521451;34,09130098;35,62760013;37,14609345;38,64845153;40,13609844;41,61025992;43,07200006;44,5222497;45,96182868;47,39146363;48,81180209;50,22342416;51,62685187;53,0225571;54,410968;55,79247454;57,16743306;58,53617025;59,89898645;61,25615856;62,60794253;63,95457551;65,29627772;66,63325411;67,96569579;69,29378132;70,61767784;71,93754203;73,25352106;74,56575333;75,87436922;77,17949171;78,48123694;79,77971478;81,07502924;82,36727893;83,65655743;84,94295367;86,22655221;87,50743355;88,7856744;90,06134793;91,33452399;92,60526931;93,87364771;95,13972026;96,40354543
0,003;8,807468394;11,61828598;13,93142267;16,01432631;17,95761227;19,80465236;21,58014539;23,2997345;24,97406845;26,61078512;28,21558439;29,79285436;31,34605918;32,87799071;34,39093832;35,88680725;37,36720326;38,83349478;40,28685935;41,72831893;43,15876735;44,57899169;45,98968937;47,39148184;48,78492568;50,17052175;51,54872264;52,91993903;54,28454486;55,64288183;56,99526313;58,3419767;59,68328796;61,01944221;62,35066674;63,67717257;64,9991561;66,31680042;67,63027662;68,9397448;70,24535506;71,54724835;72,84555725;74,14040661;75,43191421;76,72019128;78,00534301;79,28746901;80,56666368;81,84301663;83,11661299;84,38753371;85,65585586;86,92165287;88,18499478;89,44594844;90,70457774;91,96094374;93,21510489;94,46711716
0,004;8,283814996;11,04292184;13,31640865;15,36561125;17,27897691;19,09879292;20,84911788;22,54517756;24,19732982;25,81299977;27,39772587;28,95577019;30,49049616;32,00461359;33,50034396;34,97953551;36,44374562;37,89430123;39,33234389;40,75886425;42,17472853;43,58069943;44,97745267;46,36559028;47,74565138;49,11812106;50,48343765;51,84199879;53,19416658;54,54027182;55,88061771;57,21548298;58,54512453;59,8697798;61,18966874;62,50499559;63,81595037;65,12271028;66,42544084;67,72429696;69,01942385;70,31095789;71,59902732;72,88375292;74,16524862;75,443622;76,71897482;77,99140341;79,26099907;80,52784848;81,79203395;83,05363377;84,31272246;85,56937105;86,82364725;88,0756157;89,32533818;90,57287373;91,81827887;93,0616077
0,005;7,879438577;10,59663473;12,83815647;14,860259;16,74960234;18,54758418;20,27773987;21,95495499;23,58935078;25,18817957;26,75684892;28,29951882;29,81947122;31,31934962;32,80132065;34,26718654;35,71846566;37,15645146;38,58225655;39,99684631;41,40106477;42,795655;44,18127525;45,55851194;46,92789016;48,28988233;49,6449153;50,99337627;52,33561779;53,67196193;55,00270388;56,32811496;57,64844526;58,96392588;60,2747709;61,58117911;62,88333545;64,18141236;65,4755709;66,76596183;68,05272646;69,33599746;70,61589962;71,89255046;73,16606082;74,43653537;75,7040731;76,96876773;78,23070809;79,48997847;80,74665895;82,0008257;83,25255121;84,50190453;85,74895156;86,99375516;88,23637541;89,47686974;90,71529311;91,95169816
0,006;7,550302542;10,23199162;12,44655104;14,4458427;16,31499158;18,09463447;19,80786051;21,46926575;23,08877044;24,67348033;26,22869205;27,75847919;29,26605477;30,75400624;32,22445389;33,67916114;35,11961342;36,54707594;37,96263692;39,36724043;40,76171181;42,1467776;43,52308136;44,89119634;46,25163584;47,60486162;48,95129087;50,29130201;51,62523958;52,95341829;54,2761266;55,59362961;56,90617167;58,21397858;59,51725949;60,81620859;62,11100655;63,40182183;64,68881176;65,97212359;67,25189534;68,52825662;69,8013293;71,07122815;72,33806143;73,60193136;74,86293462;76,12116273;77,37670243;78,62963605;79,88004178;81,127994;82,37356348;83,61681768;84,8578209;86,09663456;87,33331729;88,56792519;89,80051191;91,03112883
0,007;7,272968967;9,92369026;12,11482274;14,09432997;15,94598266;17,70974876;19,40832608;21,05605726;22,66268685;24,23519263;25,7787745;27,29743076;28,79431439;30,27196405;31,73245975;33,17753114;34,60863503;36,02701213;37,43372942;38,82971252;40,21577053;41,59261565;42,96087867;44,32112146;45,67384709;47,01950806;48,3585132;49,69123332;51,018006;52,33913961;53,65491675;54,96559715;56,27142019;57,57260707;58,86936267;60,16187722;61,45032768;62,73487905;64,01568545;65,29289109;66,56663116;67,83703258;69,10421471;70,36828997;71,62936436;72,887538;74,14290555;75,39555663;76,6455762;77,89304486;79,13803919;80,380632;81,6208926;82,85888705;84,0946783;85,32832648;86,55988902;87,78942081;89,01697441;90,24260011
0,008;7,033474266;9,656627475;11,82697385;13,78895432;15,62512207;17,37484553;19,06047255;20,69611949;22,29137421;23,8531005;25,38641214;26,89524046;28,38268506;29,85124128;31,30295333;32,7395209;34,16237539;35,57273575;36,9716502;38,36002794;39,73866369;41,10825694;42,46942719;43,82272621;45,168648;46,50763689;47,84009428;49,16638425;50,48683824;51,80175898;53,11142391;54,416088;55,71598623;57,01133572;58,30233759;59,58917856;60,87203231;62,1510608;63,42641528;64,69823729;65,96665951;67,2318065;68,49379539;69,75273651;71,00873388;72,26188575;73,512285;74,7600196;76,00517289;77,24782397;78,48804798;79,72591637;80,96149714;82,1948551;83,42605204;84,65514693;85,88219614;87,10725351;88,33037061;89,55159679
0,009;6,822826837;9,421061403;11,57267496;13,51888199;15,34112561;17,07822912;18,75222273;20,37701777;21,96206024;23,51411084;25,03820553;26,53821511;28,01719105;29,47758958;30,92142262;32,35036284;33,76581877;35,16898975;36,56090706;37,94246513;39,31444577;40,67753699;42,03234815;43,37942192;44,71924414;46,05225178;47,37883958;48,69936557;50,01415564;51,32350748;52,62769386;53,92696549;55,22155338;56,51167102;57,79751613;59,07927225;60,35711016;61,63118904;62,9016576;64,16865497;65,43231156;66,69274983;67,9500849;69,20442522;70,45587303;71,70452491;72,95047215;74,1938012;75,43459398;76,67292823;77,90887781;79,14251293;80,37390044;81,60310401;82,83018437;84,0551995;85,27820475;86,49925308;87,71839514;88,93567944
0,01;6,634896601;9,210340372;11,34486673;13,27670414;15,08627247;16,81189383;18,47530691;20,09023503;21,66599433;23,20925116;24,72497031;26,21696731;27,68824961;29,14123774;30,57791417;31,99992691;33,40866361;34,80530573;36,19086913;37,56623479;38,93217268;40,28936044;41,63839812;42,97982014;44,3141049;45,64168267;46,96294212;48,27823577;49,58788447;50,89218131;52,19139483;53,48577184;54,77553976;56,06090875;57,34207343;58,6192145;59,89250005;61,16208676;62,42812102;63,69073975;64,95007134;66,20623628;67,45934792;68,70951297;69,95683207;71,20140025;72,44330738;73,68263852;74,91947431;76,15389125;77,38596202;78,61575572;79,84333812;81,06877191;82,29211683;83,51342993;84,73276571;85,95017625;87,1657114;88,3794189
0,011;6,465317286;9,019720012;11,13850986;13,05712875;14,85504527;16,57011657;18,22381135;19,82967904;21,39691572;22,93210061;24,44013283;25,92477688;27,38899966;28,83518879;30,26529957;31,68095733;33,08353048;34,47418403;35,8539196;37,22360582;38,5840018;39,93577557;41,27951867;42,61575791;43,94496485;45,26756361;46,58393727;47,89443328;49,19936787;50,49902988;51,79368398;53,08357339;54,36892223;55,64993761;56,92681131;58,19972138;59,46883347;60,73430197;61,99627111;63,25487582;64,51024258;65,76249015;67,01173017;68,25806779;69,50160218;70,74242696;71,98063067;73,21629713;74,44950576;75,68033194;76,90884727;78,13511983;79,35921443;80,58119279;81,8011138;83,01903364;84,235006;85,4490822;86,66131134;87,87174045
